"June 13, 1952",11:29,Baltic Sea,Swedish Air Force,?,Radio surveillance mission,Douglas DC-3,79001,9001,8,8,0,"Shot down by  a Mig-15 Russian Air Force fighter over the Baltic Sea in international waters while on a radio surveillance mission. Wreckage found 06/17/2003, recovered 03/19/2004.",58.48795200000001,19.863281
"June 13, 1956",?,Over North Carolina,Piedmont,?,?,Douglas DC-3,?,?,?,1,0,A passenger fell to his death after the door of the plane opened.,34.5107503,-77.908718
"June 13, 1961",?,"Douala, Cameroon",Air Cameroon,?,?,Douglas DC-4,?,?,5,5,0,Crashed on takeoff.,4.0510564,9.7678687
"June 13, 1964",?,"Jeddah, Saudia ArabiaJeddah, Saudia Arabia",Saudi Arabian Airlines,?,Training,Douglas C-47A,HZ-AAN,12899,2,2,0,Crashed into the Red Sea.,21.6678312,39.1503362
"June 13, 1971",13:30,North Pacific Ocean,Military - U.S. Air Force,?,Hickam AFB - Pango Pango,Boeing - EC-135N,61-0331,18238,24,24,0,Disappeared while en route. Met with an undisclosed catastrophic event and plunged into the sea. Believed to  have struck the surface at high speed.,59.8056059,-146.3786899
"June 13, 1972",?,"Near an Loc, South Vietnam",Military - Vietnamese Air Force,?,?,Boeing Vertol CH-47 (helicopter),?,?,47,47,0,"Shot down by enemy fire, 60 miles north of Saigon, shortly after taking off.",11.6630859,106.5844991
"June 13, 1972",?,"Santiago, Chile",Aerolineas Flecha Austral,?,?,Curtiss C-46D,CC-CDU,33369,3,3,0,On approach the aircraft struck El Ovejero mountain.,-33.4378305,-70.6504492
"June 13, 1981",?,"Hualien, Taiwan",Taiwan Airlines,?,?,Britten-Norman BN-2A-8 Islander,B-11108,701,2,2,0,Crashed into a mountain during a typhoon.,23.9871589,121.6015714
"June 13, 1994",18:50,"Near Uruapan, Mexico",Aerolineas Cuahonte,?,Lazaro - Cardenas - Michoacan,Swearingen SA.226TC Metro II,XA-SLU,TC-401,9,9,0,The aircraft flew into high ground during a go-around. The accident happened in darkness and in poor weather with rain and heavy clouds. The accident was attributed to the pilot's failure to follow the established go-around procedure correctly.,19.4064492,-102.0430476
"June 13, 1996",12:07,"Fukuoka, Japan",Garuda Indonesia Airlines,865,Fukuoka - Denpasar,McDonnell Douglas DC-10-30,PK-GIE,46685/284,275,3,0,The aircraft overran the runway after an aborted takeoff. The fuel line in the No.3 engine was sheared and caught fire after the fanblade of the first stage HP turbine separated. During the slide the No. 1 engine and landing gear were lost ane the plane came to rest in a ditch. Three passengers were trapped in the wreckage and overcome by toxic fumes after a fire started. Pilot error. Improper procedures used by the captain after engine failure.,33.5903547,130.4017155
